epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.688,2.05213,2.13964,0.00257,0.71596,0.57796,0.61955,0.33735,1.73862,1.33828,0.00267,0.000666243,0.000666243,0.000666243
2,736.416,2.00903,1.55381,0.00243,0.74808,0.61129,0.66251,0.37942,1.68762,1.25047,0.00251,0.00129992,0.00129992,0.00129992
3,1073.9,1.98628,1.4686,0.00236,0.76855,0.62292,0.68195,0.39788,1.66766,1.17135,0.00249,0.0019006,0.0019006,0.0019006
4,1401.05,1.957,1.4049,0.00231,0.78069,0.64306,0.70303,0.4163,1.6314,1.11094,0.0024,0.0018515,0.0018515,0.0018515
5,1722.35,1.93939,1.37575,0.00227,0.78813,0.64673,0.70963,0.42114,1.60853,1.10666,0.00234,0.001802,0.001802,0.001802
6,2074.07,1.927,1.35436,0.00225,0.785,0.65849,0.71492,0.42723,1.59611,1.0846,0.00232,0.0017525,0.0017525,0.0017525
7,2407.48,1.90296,1.31673,0.0022,0.79635,0.66799,0.72584,0.43186,1.59325,1.05812,0.00231,0.001703,0.001703,0.001703
8,2864.46,1.88622,1.30733,0.00218,0.79827,0.67273,0.73207,0.44291,1.56712,1.03839,0.00228,0.0016535,0.0016535,0.0016535
9,3213.88,1.87673,1.2892,0.00216,0.79947,0.66584,0.72967,0.44583,1.55905,1.04649,0.00225,0.001604,0.001604,0.001604
10,3545.67,1.86084,1.27291,0.00214,0.79956,0.68156,0.7389,0.45082,1.55602,1.03216,0.00224,0.0015545,0.0015545,0.0015545
11,3871.57,1.85498,1.26347,0.00212,0.80745,0.68349,0.74412,0.45867,1.53188,1.01597,0.00219,0.001505,0.001505,0.001505
12,4201.72,1.84782,1.2491,0.00211,0.81014,0.68339,0.74674,0.46089,1.52131,1.00706,0.00218,0.0014555,0.0014555,0.0014555
13,4529.55,1.82682,1.23636,0.0021,0.81037,0.69387,0.75424,0.46615,1.51095,0.98884,0.00216,0.001406,0.001406,0.001406
14,4868.77,1.82017,1.22271,0.00207,0.80769,0.69709,0.75641,0.47039,1.49548,0.98927,0.00213,0.0013565,0.0013565,0.0013565
15,5193.22,1.81839,1.22356,0.00207,0.8127,0.69619,0.75778,0.4732,1.49325,0.97851,0.00212,0.001307,0.001307,0.001307
16,5563.91,1.81266,1.21189,0.00204,0.81109,0.70263,0.76128,0.47665,1.48319,0.97377,0.00211,0.0012575,0.0012575,0.0012575
17,5888.11,1.80956,1.20709,0.00204,0.81432,0.69962,0.76059,0.47913,1.47959,0.9672,0.0021,0.001208,0.001208,0.001208
18,6211.79,1.80015,1.19752,0.00201,0.81194,0.70544,0.76304,0.47836,1.47885,0.96465,0.0021,0.0011585,0.0011585,0.0011585
19,6540.97,1.78792,1.19017,0.00202,0.81771,0.7041,0.76625,0.48525,1.46711,0.94787,0.00208,0.001109,0.001109,0.001109
20,6862.9,1.79176,1.19,0.00199,0.82194,0.70947,0.77085,0.48788,1.45863,0.94169,0.00206,0.0010595,0.0010595,0.0010595
21,7206.8,1.77778,1.17877,0.00199,0.82293,0.70784,0.77117,0.48845,1.45596,0.94151,0.00206,0.00101,0.00101,0.00101
22,8286.39,1.77526,1.17746,0.00198,0.81788,0.71101,0.77173,0.49064,1.44917,0.9416,0.00204,0.0009605,0.0009605,0.0009605
23,8615.36,1.7725,1.16879,0.00196,0.82418,0.71348,0.77606,0.49393,1.44288,0.93434,0.00203,0.000911,0.000911,0.000911
24,8949.62,1.76446,1.16542,0.00196,0.82795,0.71146,0.77624,0.49673,1.43373,0.93319,0.00201,0.0008615,0.0008615,0.0008615
25,9282.7,1.75278,1.15176,0.00194,0.82154,0.71646,0.77698,0.49702,1.43155,0.93448,0.00201,0.000812,0.000812,0.000812
26,9659.91,1.75672,1.15124,0.00193,0.82351,0.71873,0.77968,0.50027,1.42931,0.91958,0.002,0.0007625,0.0007625,0.0007625
27,9997.9,1.75248,1.15249,0.00194,0.82788,0.71906,0.78085,0.50131,1.42271,0.91958,0.00199,0.000713,0.000713,0.000713
28,10336.1,1.74342,1.14837,0.00193,0.82682,0.7209,0.78181,0.5025,1.42236,0.919,0.00199,0.0006635,0.0006635,0.0006635
29,10663.6,1.74316,1.13987,0.00192,0.82654,0.72212,0.78269,0.50442,1.42021,0.91863,0.00198,0.000614,0.000614,0.000614
30,11002.2,1.73025,1.12927,0.00191,0.82854,0.72119,0.78328,0.50613,1.41448,0.91374,0.00197,0.0005645,0.0005645,0.0005645
31,11355.1,1.66185,1.10781,0.00201,0.82601,0.71985,0.78087,0.50402,1.42069,0.92064,0.00198,0.000515,0.000515,0.000515
32,11651.5,1.64918,1.09085,0.00199,0.83008,0.7186,0.78198,0.50609,1.41825,0.91871,0.00197,0.0004655,0.0004655,0.0004655
33,11981.6,1.64268,1.08621,0.00197,0.82939,0.7214,0.78377,0.50739,1.41473,0.91339,0.00197,0.000416,0.000416,0.000416
34,12277.6,1.63842,1.07877,0.00196,0.83074,0.72234,0.78483,0.50853,1.41308,0.91337,0.00196,0.0003665,0.0003665,0.0003665
35,12575.8,1.63228,1.07483,0.00195,0.83301,0.72102,0.78577,0.50958,1.40986,0.91203,0.00196,0.000317,0.000317,0.000317
36,12874.9,1.6213,1.06645,0.00194,0.83041,0.72591,0.78693,0.51032,1.40826,0.90745,0.00195,0.0002675,0.0002675,0.0002675
37,13174.1,1.62754,1.06634,0.00193,0.83008,0.72582,0.78649,0.51126,1.40816,0.90609,0.00195,0.000218,0.000218,0.000218
38,13472.3,1.62189,1.06009,0.00193,0.8311,0.72699,0.78765,0.51161,1.4065,0.90423,0.00195,0.0001685,0.0001685,0.0001685
39,13770.3,1.61788,1.056,0.00192,0.82981,0.72933,0.78807,0.51169,1.40638,0.90278,0.00195,0.000119,0.000119,0.000119
40,14072.4,1.61175,1.05072,0.00192,0.83137,0.72789,0.78851,0.5123,1.405,0.90182,0.00195,6.95e-05,6.95e-05,6.95e-05
