epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.621,1.88132,1.20095,0.00168,0.82465,0.71647,0.7768,0.49181,1.45994,0.93935,0.00206,0.000666312,0.000666312,0.000666312
2,509.698,1.90577,1.21619,0.0017,0.81946,0.704,0.76677,0.47899,1.48753,0.96333,0.00211,0.00128899,0.00128899,0.00128899
3,751.054,1.92871,1.23681,0.00173,0.81338,0.70317,0.76386,0.47883,1.48676,0.95873,0.00213,0.00186767,0.00186767,0.00186767
4,992.154,1.91979,1.23198,0.00176,0.81144,0.70641,0.7662,0.47616,1.49212,0.96433,0.00215,0.001802,0.001802,0.001802
5,1236.77,1.92111,1.23275,0.00175,0.81398,0.70742,0.76655,0.47608,1.48807,0.96349,0.00214,0.001736,0.001736,0.001736
6,1479.05,1.92141,1.23036,0.00175,0.82312,0.70174,0.76456,0.47486,1.50038,0.96385,0.00215,0.00167,0.00167,0.00167
7,1720.24,1.91787,1.2285,0.00174,0.8151,0.70931,0.76883,0.47823,1.49009,0.95461,0.00213,0.001604,0.001604,0.001604
8,1962.54,1.90115,1.21564,0.00173,0.81452,0.70468,0.76555,0.48122,1.47643,0.96001,0.0021,0.001538,0.001538,0.001538
9,2205.39,1.90948,1.21867,0.00171,0.82102,0.71429,0.77259,0.4842,1.47796,0.93878,0.00212,0.001472,0.001472,0.001472
10,2446.65,1.90898,1.21847,0.00171,0.82098,0.70829,0.7682,0.48128,1.46979,0.95677,0.0021,0.001406,0.001406,0.001406
11,2688.58,1.89519,1.20215,0.0017,0.8196,0.71287,0.77273,0.48694,1.46682,0.9451,0.0021,0.00134,0.00134,0.00134
12,2931.1,1.89726,1.20451,0.00169,0.81691,0.71392,0.7732,0.48763,1.46867,0.93791,0.0021,0.001274,0.001274,0.001274
13,3173.93,1.89059,1.1916,0.00169,0.82623,0.71449,0.77613,0.49031,1.46248,0.93356,0.00209,0.001208,0.001208,0.001208
14,3417.3,1.88137,1.19083,0.00168,0.8221,0.71657,0.77674,0.49112,1.45296,0.94221,0.00207,0.001142,0.001142,0.001142
15,3660.5,1.88311,1.1976,0.00168,0.82386,0.71836,0.77968,0.49292,1.44901,0.92571,0.00205,0.001076,0.001076,0.001076
16,3902.04,1.87432,1.18135,0.00168,0.82044,0.72022,0.77829,0.4956,1.43721,0.9308,0.00204,0.00101,0.00101,0.00101
17,4156.05,1.87325,1.18593,0.00167,0.82175,0.72088,0.77919,0.49613,1.43848,0.92832,0.00204,0.000944,0.000944,0.000944
18,4396.72,1.86241,1.17316,0.00166,0.82413,0.72026,0.78084,0.49748,1.43572,0.92193,0.00203,0.000878,0.000878,0.000878
19,4639.03,1.86797,1.18083,0.00165,0.82643,0.72073,0.78253,0.50059,1.42873,0.91935,0.00202,0.000812,0.000812,0.000812
20,4881.43,1.84861,1.16255,0.00165,0.82992,0.72234,0.78435,0.50097,1.42804,0.91789,0.00201,0.000746,0.000746,0.000746
21,5155.13,1.8072,1.15986,0.00172,0.83086,0.718,0.78096,0.49792,1.43662,0.92702,0.00203,0.00068,0.00068,0.00068
22,5386.52,1.79833,1.14907,0.0017,0.82355,0.72091,0.78026,0.50035,1.43181,0.92637,0.00201,0.000614,0.000614,0.000614
23,5613.52,1.79113,1.14094,0.00168,0.82756,0.72485,0.78326,0.50154,1.43073,0.92117,0.00201,0.000548,0.000548,0.000548
24,5840.56,1.78002,1.13387,0.00168,0.82748,0.72541,0.78471,0.50243,1.42487,0.91921,0.002,0.000482,0.000482,0.000482
25,6066.82,1.78665,1.1361,0.00166,0.83161,0.72511,0.78586,0.50422,1.42419,0.90998,0.002,0.000416,0.000416,0.000416
26,6293.05,1.76967,1.12481,0.00166,0.83034,0.7258,0.78519,0.50678,1.41535,0.91544,0.00198,0.00035,0.00035,0.00035
27,6538.74,1.76736,1.12319,0.00165,0.83182,0.72584,0.78681,0.50787,1.41165,0.91107,0.00197,0.000284,0.000284,0.000284
28,6772.83,1.76455,1.12315,0.00164,0.83144,0.72727,0.78803,0.50811,1.41091,0.90675,0.00197,0.000218,0.000218,0.000218
29,7000.71,1.75205,1.10906,0.00163,0.83297,0.72729,0.78906,0.50877,1.41125,0.90516,0.00197,0.000152,0.000152,0.000152
30,7226.82,1.75251,1.11198,0.00163,0.83085,0.72824,0.78816,0.50916,1.40864,0.90903,0.00197,8.6e-05,8.6e-05,8.6e-05
