epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.238,2.07244,1.45202,0.00275,0.77123,0.62699,0.67286,0.37184,1.80207,1.09131,0.00278,0.000666243,0.000666243,0.000666243
2,515.083,2.03349,1.30864,0.00263,0.76698,0.64051,0.68336,0.38358,1.78473,1.07614,0.00273,0.00129992,0.00129992,0.00129992
3,759.586,2.01533,1.28696,0.00258,0.77662,0.65155,0.70228,0.40027,1.74657,1.04299,0.00264,0.0019006,0.0019006,0.0019006
4,1003.25,1.98149,1.24618,0.00252,0.79916,0.65431,0.70826,0.40951,1.7189,1.02777,0.00255,0.0018515,0.0018515,0.0018515
5,1246.56,1.96381,1.23328,0.00248,0.79437,0.67247,0.72519,0.42728,1.66192,0.99188,0.00246,0.001802,0.001802,0.001802
6,1491.15,1.93983,1.22182,0.00244,0.79747,0.67168,0.72403,0.42667,1.6719,0.98914,0.00246,0.0017525,0.0017525,0.0017525
7,1734.61,1.91593,1.19354,0.00238,0.80701,0.67887,0.73825,0.44163,1.61402,0.96502,0.00237,0.001703,0.001703,0.001703
8,1978.09,1.90111,1.17952,0.00236,0.80596,0.6764,0.73575,0.44243,1.61592,0.97145,0.00236,0.0016535,0.0016535,0.0016535
9,2222.76,1.8889,1.17098,0.00233,0.80923,0.68115,0.73939,0.44529,1.60901,0.95255,0.00234,0.001604,0.001604,0.001604
10,2467.83,1.87857,1.16604,0.00232,0.80594,0.68206,0.73858,0.44673,1.59992,0.96369,0.00232,0.0015545,0.0015545,0.0015545
11,2711.99,1.86366,1.15161,0.00228,0.81332,0.69137,0.74768,0.45301,1.58611,0.93906,0.0023,0.001505,0.001505,0.001505
12,2955.69,1.85793,1.1488,0.00228,0.81537,0.69091,0.75222,0.45951,1.56561,0.9301,0.00226,0.0014555,0.0014555,0.0014555
13,3198.97,1.83918,1.13541,0.00227,0.81333,0.69743,0.75264,0.45878,1.56841,0.93254,0.00226,0.001406,0.001406,0.001406
14,3443.35,1.83079,1.12436,0.00223,0.81761,0.69471,0.75451,0.46281,1.55563,0.93241,0.00222,0.0013565,0.0013565,0.0013565
15,3687.9,1.8293,1.12546,0.00223,0.81769,0.6966,0.75683,0.46669,1.53797,0.92133,0.0022,0.001307,0.001307,0.001307
16,3932.39,1.82359,1.11668,0.00219,0.82244,0.69801,0.76058,0.46876,1.54237,0.91772,0.00221,0.0012575,0.0012575,0.0012575
17,4176.65,1.82046,1.11678,0.0022,0.82283,0.70174,0.76276,0.4719,1.53126,0.90848,0.00219,0.001208,0.001208,0.001208
18,4420.45,1.80807,1.10528,0.00217,0.81725,0.70496,0.76255,0.4727,1.52219,0.91756,0.00217,0.0011585,0.0011585,0.0011585
19,4663.24,1.79338,1.10347,0.00216,0.82422,0.70688,0.76758,0.47988,1.51005,0.90388,0.00214,0.001109,0.001109,0.001109
20,4906.46,1.79606,1.09661,0.00213,0.83053,0.70713,0.76982,0.48278,1.50274,0.89587,0.00213,0.0010595,0.0010595,0.0010595
21,5149.34,1.78291,1.08607,0.00214,0.83154,0.71204,0.77387,0.48384,1.49858,0.89036,0.00212,0.00101,0.00101,0.00101
22,5393.18,1.78048,1.09235,0.00213,0.82616,0.70797,0.77042,0.48272,1.4941,0.896,0.00211,0.0009605,0.0009605,0.0009605
23,5636.81,1.77521,1.08243,0.0021,0.83406,0.71181,0.77546,0.48671,1.49033,0.88154,0.0021,0.000911,0.000911,0.000911
24,5880.83,1.76752,1.07416,0.0021,0.83178,0.71347,0.77629,0.4916,1.47975,0.88038,0.00208,0.0008615,0.0008615,0.0008615
25,6126.62,1.75278,1.06385,0.00207,0.83015,0.71612,0.77692,0.48888,1.47929,0.87955,0.00208,0.000812,0.000812,0.000812
26,6370.54,1.75357,1.06591,0.00206,0.82903,0.71587,0.77708,0.4912,1.46879,0.88278,0.00206,0.0007625,0.0007625,0.0007625
27,6614.53,1.74846,1.06432,0.00207,0.83199,0.71547,0.77819,0.49353,1.46615,0.88076,0.00205,0.000713,0.000713,0.000713
28,6858.11,1.74374,1.0608,0.00207,0.83577,0.71864,0.78098,0.49641,1.46343,0.87071,0.00205,0.0006635,0.0006635,0.0006635
29,7102.3,1.73696,1.05019,0.00204,0.83676,0.71987,0.78328,0.49797,1.45863,0.86556,0.00204,0.000614,0.000614,0.000614
